FirstName0 LastName0  assistant 63326.05
FirstName736 LastName736  assistant 69987.97
FirstName737 LastName737  associate 96203.96
FirstName738 LastName738  assistant 57775.68
FirstName739 LastName739  assistant 61331.03
FirstName740 LastName740  assistant 67599.75
FirstName741 LastName741  full 82467.98
FirstName742 LastName742  full 116564.83
FirstName743 LastName743  assistant 65547.26
FirstName744 LastName744  full 102587.89
FirstName745 LastName745  full 126402.60
FirstName746 LastName746  assistant 75766.86
FirstName747 LastName747  associate 91702.92
FirstName748 LastName748  assistant 74295.93
FirstName749 LastName749  full 113868.76
FirstName750 LastName750  associate 66581.63
FirstName751 LastName751  assistant 76036.43
FirstName752 LastName752  associate 71179.27
FirstName753 LastName753  full 76134.56
FirstName754 LastName754  associate 105604.28
FirstName755 LastName755  associate 60506.86
FirstName756 LastName756  associate 65104.66
FirstName757 LastName757  full 105715.56
FirstName758 LastName758  assistant 70197.62
FirstName759 LastName759  full 80534.06
FirstName760 LastName760  full 86118.28
FirstName761 LastName761  assistant 53892.56
FirstName762 LastName762  associate 106732.55
FirstName763 LastName763  assistant 71099.94
FirstName764 LastName764  full 126002.75
FirstName765 LastName765  full 127948.75
FirstName766 LastName766  assistant 62969.97
FirstName767 LastName767  full 123113.34
FirstName768 LastName768  assistant 62241.91
FirstName769 LastName769  assistant 77506.19
FirstName770 LastName770  full 102752.93
FirstName771 LastName771  assistant 52852.54
FirstName772 LastName772  assistant 79845.93
FirstName773 LastName773  full 103170.80
FirstName774 LastName774  associate 105020.30
FirstName775 LastName775  assistant 70431.07
FirstName776 LastName776  full 129783.87
FirstName777 LastName777  associate 105944.10
FirstName778 LastName778  associate 83369.31
FirstName779 LastName779  full 99806.37
FirstName780 LastName780  associate 97151.39
FirstName781 LastName781  assistant 59067.36
FirstName782 LastName782  associate 81338.37
FirstName783 LastName783  full 111382.28
FirstName784 LastName784  full 92262.24
FirstName785 LastName785  full 84226.66
FirstName786 LastName786  associate 69592.87
FirstName787 LastName787  assistant 64515.98
FirstName788 LastName788  associate 84926.69
FirstName789 LastName789  assistant 68006.01
FirstName790 LastName790  associate 106874.34
FirstName791 LastName791  associate 87103.39
FirstName792 LastName792  full 121025.69
FirstName793 LastName793  assistant 66250.78
FirstName794 LastName794  full 95740.52
FirstName795 LastName795  assistant 58397.77
FirstName796 LastName796  assistant 74345.18
FirstName797 LastName797  assistant 65099.74
FirstName798 LastName798  associate 82748.30
FirstName799 LastName799  assistant 55337.01
FirstName800 LastName800  associate 86423.90
FirstName801 LastName801  assistant 60635.65
FirstName802 LastName802  associate 105498.91
FirstName803 LastName803  full 79887.10
FirstName804 LastName804  associate 83316.93
FirstName805 LastName805  assistant 52549.75
FirstName806 LastName806  full 125520.44
FirstName807 LastName807  assistant 56369.02
FirstName808 LastName808  full 81973.50
FirstName809 LastName809  full 112601.99
FirstName810 LastName810  associate 73673.33
FirstName811 LastName811  assistant 64298.19
FirstName812 LastName812  assistant 70056.79
FirstName813 LastName813  assistant 65873.76
FirstName814 LastName814  full 119310.71
FirstName815 LastName815  assistant 60464.72
FirstName816 LastName816  assistant 75689.17
FirstName817 LastName817  assistant 78084.28
FirstName818 LastName818  associate 60294.35
FirstName819 LastName819  associate 77080.43
FirstName820 LastName820  associate 105352.70
FirstName821 LastName821  assistant 72584.04
FirstName822 LastName822  assistant 51614.66
FirstName823 LastName823  full 115517.84
FirstName824 LastName824  assistant 51973.97
FirstName825 LastName825  assistant 54583.75
FirstName826 LastName826  associate 95537.09
FirstName827 LastName827  full 91196.02
FirstName828 LastName828  assistant 79774.94
FirstName829 LastName829  full 75952.85
FirstName830 LastName830  assistant 73509.28
FirstName831 LastName831  associate 108473.91
FirstName832 LastName832  assistant 58766.50
FirstName833 LastName833  full 105315.33
FirstName834 LastName834  full 81455.61
FirstName835 LastName835  full 124539.19
FirstName836 LastName836  assistant 73136.56
FirstName837 LastName837  assistant 50827.24
FirstName838 LastName838  assistant 59662.96
FirstName839 LastName839  associate 69853.52
FirstName840 LastName840  assistant 57493.43
FirstName841 LastName841  assistant 74188.70
FirstName842 LastName842  associate 94630.29
FirstName843 LastName843  full 90776.08
FirstName844 LastName844  assistant 50453.52
FirstName845 LastName845  full 76066.68
FirstName846 LastName846  assistant 50816.40
FirstName847 LastName847  full 121804.35
FirstName848 LastName848  full 88494.80
FirstName849 LastName849  assistant 67091.56
FirstName850 LastName850  associate 75140.19
FirstName851 LastName851  assistant 68296.17
FirstName852 LastName852  associate 109363.19
FirstName853 LastName853  assistant 60066.44
FirstName854 LastName854  assistant 62391.45
FirstName855 LastName855  associate 84138.37
FirstName856 LastName856  full 103566.85
FirstName857 LastName857  full 115002.32
FirstName858 LastName858  full 98490.25
FirstName859 LastName859  associate 104492.41
FirstName860 LastName860  assistant 55491.91
FirstName861 LastName861  assistant 79693.67
FirstName862 LastName862  assistant 52268.03
FirstName863 LastName863  associate 70796.20
FirstName864 LastName864  assistant 50378.80
FirstName865 LastName865  assistant 76844.84
FirstName866 LastName866  full 98159.22
FirstName867 LastName867  associate 95295.66
FirstName868 LastName868  assistant 72430.52
FirstName869 LastName869  associate 95960.91
FirstName870 LastName870  full 125582.45
FirstName871 LastName871  full 92103.57
FirstName872 LastName872  associate 62934.40
FirstName873 LastName873  assistant 69556.84
FirstName874 LastName874  associate 76573.59
FirstName875 LastName875  assistant 57664.58
FirstName876 LastName876  associate 63434.85
FirstName877 LastName877  assistant 50753.39
FirstName878 LastName878  associate 69310.30
FirstName879 LastName879  full 93909.35
FirstName880 LastName880  assistant 65071.36
FirstName881 LastName881  full 75796.63
FirstName882 LastName882  associate 98075.84
FirstName883 LastName883  full 90223.77
FirstName884 LastName884  assistant 51352.06
FirstName885 LastName885  associate 95088.37
FirstName886 LastName886  associate 99034.43
FirstName887 LastName887  full 102355.05
FirstName888 LastName888  associate 97186.68
FirstName889 LastName889  associate 92273.93
FirstName890 LastName890  assistant 58612.53
FirstName891 LastName891  assistant 60040.34
FirstName892 LastName892  full 104228.33
FirstName893 LastName893  associate 77684.50
FirstName894 LastName894  assistant 62062.92
FirstName895 LastName895  assistant 63997.15
FirstName896 LastName896  full 86438.94
FirstName897 LastName897  full 91688.01
FirstName898 LastName898  full 125804.51
FirstName899 LastName899  assistant 79089.36
FirstName900 LastName900  assistant 63752.16
FirstName901 LastName901  full 97069.83
FirstName902 LastName902  assistant 79185.90
FirstName903 LastName903  full 101209.26
FirstName904 LastName904  full 115765.14
FirstName905 LastName905  assistant 50895.33
FirstName906 LastName906  full 82933.88
FirstName907 LastName907  assistant 56305.53
FirstName908 LastName908  associate 66435.48
FirstName909 LastName909  associate 63723.35
FirstName910 LastName910  full 122813.41
FirstName911 LastName911  associate 105704.89
FirstName912 LastName912  assistant 62948.12
FirstName913 LastName913  associate 88732.84
FirstName914 LastName914  full 127110.68
FirstName915 LastName915  associate 107430.43
FirstName916 LastName916  associate 69448.90
FirstName917 LastName917  full 124223.89
FirstName918 LastName918  assistant 63601.41
FirstName919 LastName919  assistant 52175.95
FirstName920 LastName920  associate 77850.43
FirstName921 LastName921  assistant 66794.64
FirstName922 LastName922  full 101245.83
FirstName923 LastName923  associate 93984.78
FirstName924 LastName924  associate 98866.14
FirstName925 LastName925  associate 67324.79
FirstName926 LastName926  assistant 62131.88
FirstName927 LastName927  full 103035.17
FirstName928 LastName928  full 116671.85
FirstName929 LastName929  associate 104071.06
FirstName930 LastName930  full 113092.76
FirstName931 LastName931  assistant 53092.90
FirstName932 LastName932  full 94070.21
FirstName933 LastName933  associate 101676.03
FirstName934 LastName934  full 94379.28
FirstName935 LastName935  full 103567.12
FirstName936 LastName936  assistant 54052.30
FirstName937 LastName937  assistant 75498.77
FirstName938 LastName938  assistant 67665.72
FirstName939 LastName939  assistant 52662.70
FirstName940 LastName940  associate 93216.84
FirstName941 LastName941  full 109545.60
FirstName942 LastName942  full 92134.51
FirstName943 LastName943  assistant 56474.09
FirstName944 LastName944  associate 98830.88
FirstName945 LastName945  full 106286.20
FirstName946 LastName946  associate 83444.41
FirstName947 LastName947  full 102811.29
FirstName948 LastName948  full 101743.50
FirstName949 LastName949  assistant 59156.35
FirstName950 LastName950  assistant 62452.15
FirstName951 LastName951  assistant 71948.81
FirstName952 LastName952  assistant 56173.64
FirstName953 LastName953  full 77825.04
FirstName954 LastName954  associate 98289.54
FirstName955 LastName955  full 97763.55
FirstName956 LastName956  full 97460.83
FirstName957 LastName957  assistant 54984.18
FirstName958 LastName958  associate 82509.68
FirstName959 LastName959  assistant 50872.82
FirstName960 LastName960  associate 62922.86
FirstName961 LastName961  full 106666.45
FirstName962 LastName962  associate 105797.76
FirstName963 LastName963  assistant 53598.67
FirstName964 LastName964  assistant 61788.26
FirstName965 LastName965  full 127267.71
FirstName966 LastName966  full 113192.87
FirstName967 LastName967  associate 101232.08
FirstName968 LastName968  associate 104235.66
FirstName969 LastName969  associate 98927.96
FirstName970 LastName970  assistant 73493.60
FirstName971 LastName971  full 107750.11
FirstName972 LastName972  associate 83535.76
FirstName973 LastName973  full 115442.66
FirstName974 LastName974  assistant 66569.89
FirstName975 LastName975  full 81951.21
FirstName976 LastName976  associate 78824.49
FirstName977 LastName977  associate 109320.92
FirstName978 LastName978  associate 66653.22
FirstName979 LastName979  assistant 72766.46
FirstName980 LastName980  associate 65958.94
FirstName981 LastName981  assistant 59757.78
FirstName982 LastName982  assistant 64798.42
FirstName983 LastName983  full 123698.52
FirstName984 LastName984  full 103665.69
FirstName985 LastName985  full 90729.06
FirstName986 LastName986  associate 92964.75
FirstName987 LastName987  associate 66039.58
FirstName988 LastName988  associate 100818.58
FirstName989 LastName989  associate 91368.75
FirstName990 LastName990  associate 99491.24
FirstName991 LastName991  associate 72996.53
FirstName992 LastName992  assistant 55424.58
FirstName993 LastName993  full 120774.26
FirstName994 LastName994  associate 62957.41
FirstName995 LastName995  associate 74620.56
FirstName996 LastName996  assistant 58113.58
FirstName997 LastName997  associate 85846.17
FirstName998 LastName998  assistant 66707.50
FirstName999 LastName999  associate 109646.30
